,Unnamed: 0.1,Unnamed: 0,Weatherfile,in.weather_file_city,in.state,power_grid,in.weather_file_latitude,in.weather_file_longitude,in.ashrae_iecc_climate_zone_2004,County_name,zipcode,tz,count,Res_state,Com_state,Res_Simu,Com_Simu,Res_total,Com_total
22,0,7,G0600850,San Jose Intl Ap,CA,CAISO,37.37,-121.93,3C,"CA, Santa Clara County",95035,480,2692,82821,112936,18540202.75,1166438260,5893.041553,6459.408531
16,1,8,G0600370,Jack Northrop Fld H,CA,CAISO,33.92,-118.33,3B,"CA, Los Angeles County",90250,480,14399,82821,112936,95906700.8,8488014401,30484.14198,47004.24748
20,2,9,G0600730,San Diego Miramar Nas,CA,CAISO,32.87,-117.13,3B,"CA, San Diego County",92101,480,4898,82821,112936,34532854.91,1979977095,10976.33891,10964.55885
17,3,10,G0600590,Orange County-Wayne Intl AP,CA,CAISO,33.683,-117.867,3B,"CA, Orange County",92683,480,4427,82821,112936,30558094.01,2315371863,9712.952993,12821.88117
18,4,11,G0600650,March Afb,CA,CAISO,33.9,-117.25,3B,"CA, Riverside County",92503,480,3386,82821,112936,27724717.67,1610851047,8812.3585,8920.442132
19,5,12,G0600710,Riverside Muni,CA,CAISO,33.95,-117.45,3B,"CA, San Bernardino County",92336,480,2922,82821,112936,22906917.87,2428969434,7281.010929,13450.95272
15,6,13,G0600010,Hayward Air Term,CA,CAISO,37.67,-122.12,3C,"CA, Alameda County",94501,480,2443,82821,112936,14671445.22,1049729841,4663.349022,5813.109979
156,7,92,G4801130,Dallas Love Field,TX,ERCOT,32.85,-96.85,3A,"TX, Dallas County",75243,360,4028,168611,165792,57559091.08,3132319257,34757.33719,43785.41884
158,8,93,G4802010,Houston Bush Intercontinental,TX,ERCOT,30,-95.37,2A,"TX, Harris County",77449,360,6967,168611,165792,92716102.85,3909667211,55987.0698,54651.6502
159,9,94,G4804390,Fort Worth Meacham Intl AP,TX,ERCOT,32.817,-97.367,3A,"TX, Tarrant County",76244,360,3055,168611,165792,47875576.94,1854627616,28909.90006,25925.08627
155,10,95,G4800290,San Antonio Intl Ap,TX,ERCOT,29.53,-98.47,2A,"TX, Bexar County",78245,360,2803,168611,165792,40738144.5,1438554969,24599.92676,20108.9757
160,11,96,G4804530,Camp Mabry,TX,ERCOT,30.32,-97.77,2A,"TX, Travis County",78660,360,1961,168611,165792,26168144.26,970000102.3,15801.76123,13559.23751
28,12,16,G0900030,Hartford Brainard Fd,CT,ISO-NE,41.73,-72.65,5A,"CT, Hartford County",6010,300,1546,12553,11374,11674844.46,584617815.2,6243.953654,6246.631938
27,13,17,G0900010,Danbury Muni AP,CT,ISO-NE,41.367,-73.483,5A,"CT, Fairfield County",6902,300,1505,12553,11374,11796553.73,479866709.6,6309.046346,5127.368062
72,14,43,G2500170,Boston Logan IntL Arpt,MA,ISO-NE,42.37,-71.02,5A,"MA, Middlesex County",2148,300,2557,19366,24276,18673391.27,861203228.2,12187.45652,16445.03681
73,15,44,G2500270,Worchester Regional Arpt,MA,ISO-NE,42.27,-71.88,5A,"MA, Worcester County",1453,300,1360,19366,24276,10998829.08,410096423.5,7178.543481,7830.963191
68,16,47,G2300050,Portland Intl Jetport,ME,ISO-NE,43.65,-70.3,6A,"ME, Cumberland County",4103,300,580,4919,4017,3413527.627,186389322.9,2814.491051,2694.507331
69,17,48,G2300310,Sanford Muni  Awos,ME,ISO-NE,43.4,-70.72,6A,"ME, York County",4005,300,442,4919,4017,2552432.858,91481849.19,2104.508949,1322.492669
106,18,66,G3300110,Manchester Airport,NH,ISO-NE,42.93,-71.43,5A,"NH, Hillsborough County",3103,300,690,4655,4051,4621477.784,202000872.8,1749.903097,1532.660898
108,19,67,G3300150,Lawrence Muni,NH,ISO-NE,42.72,-71.12,5A,"NH, Rockingham County",3038,300,531,4655,4051,4065343.677,200921372.7,1539.32526,1524.470301
142,20,85,G4400070,Pawtucket  Awos,RI,ISO-NE,41.92,-71.5,5A,"RI, Providence County",2860,300,1088,2995,3651,6513283.391,333653416.4,2995,3651
166,21,101,G5000070,Burlington International Ap,VT,ISO-NE,44.47,-73.15,6A,"VT, Chittenden County",5401,300,279,2176,1904,1741330.89,70500678.83,1657.326337,1653.441196
167,22,102,G5000270,Springfield Hartnes,VT,ISO-NE,43.35,-72.52,6A,"VT, Windsor County",5156,300,141,2176,1904,544963.567,10683516.2,518.6736633,250.5588044
11,23,2,G0500070,Bentonville  Awos,AR,MISO,36.35,-94.22,4A,"AR, Benton County",72712,360,405,18374,11694,5663037.754,168795091.6,4895.921049,2301.97529
13,24,3,G0501190,Little Rock Adams Field,AR,MISO,34.75,-92.23,3A,"AR, Pulaski County",72076,360,748,18374,11694,9631120.827,482767934.6,8326.486459,6583.839887
56,25,25,G1900130,Waterloo Municipal Ap,IA,MISO,42.55,-92.4,6A,"IA, Black Hawk County",50613,360,235,14582,12601,2887205.998,112763772.9,2392.819849,2081.345759
59,26,26,G1901530,Des Moines Intl Ap,IA,MISO,41.53,-93.67,5A,"IA, Polk County",50023,360,787,14582,12601,9663035.745,381882204.9,8008.401115,7048.619315
