,G0100730,G0100810,G0100890,G0100970,G0101010,G0101250,G0400050,G0400130,G0400150,G0400250,G0500070,G0500510,G0501190,G0501310,G0600010,G0600370,G0600590,G0600650,G0600710,G0600730,G0600750,G0600850,G0601110,G0800310,G0800410,G0801170,G0900010,G0900030,G1000030,G1000050,G1100010,G1200310,G1200570,G1200710,G1200860,G1200950,G1200990,G1201030,G1300510,G1301210,G1301390,G1600010,G1600050,G1600170,G1600190,G1600270,G1700310,G1700430,G1701190,G1800970,G1801050,G1801630,G1900130,G1900330,G1901130,G1901530,G2000510,G2000910,G2001730,G2100670,G2101110,G2200170,G2200330,G2200710,G2300050,G2300310,G2400050,G2500170,G2500270,G2600550,G2600730,G2600810,G2601030,G2601230,G2601630,G2700350,G2700530,G2701230,G2701370,G2800470,G2800490,G2800750,G2800810,G2900210,G2900950,G2901890,G3000630,G3001110,G3100550,G3101090,G3200030,G3200050,G3200230,G3200310,G3300030,G3300090,G3300110,G3300130,G3300150,G3400030,G3400130,G3500010,G3500130,G3500350,G3500450,G3500490,G3600290,G3600610,G3600650,G3701190,G3701830,G3800150,G3800170,G3900350,G3900490,G3900610,G3900950,G3901130,G3901530,G4001090,G4001430,G4100170,G4100510,G4100670,G4200030,G4200110,G4200710,G4201010,G4400070,G4500450,G4500510,G4600990,G4601030,G4601350,G4700370,G4700650,G4700930,G4701250,G4701570,G4800290,G4801130,G4801410,G4802010,G4804390,G4804530,G4900050,G4900350,G4900430,G4900490,G4900530,G5000070,G5000270,G5100590,G5108100,G5300330,G5300630,G5400110,G5400330,G5400390,G5400610,G5400810,G5500250,G5500790,G5500850,G5600210,G5600230,G5600250
Raw Log Present,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Raw Merged Hours,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0
Raw Train Hours,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0
Raw Test Hours (2016-2024),78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0
Raw Train Time (s),310.09,325.53,321.67,315.67,346.48,302.98,298.93,335.95,330.6,316.9,294.26,324.15,298.76,311.13,284.89,304.0,301.07,284.71,279.67,415.1,278.82,304.18,278.15,274.42,256.95,269.88,280.72,278.36,299.45,292.37,280.54,304.49,319.68,323.64,321.35,302.54,300.04,294.7,268.4,336.53,312.91,318.21,333.0,300.96,317.6,313.17,262.07,285.76,319.81,296.31,296.72,297.6,317.9,278.29,288.44,316.67,333.83,308.75,304.76,326.42,315.75,305.06,335.63,297.2,287.14,308.38,324.55,292.71,273.28,268.49,268.22,273.94,295.64,291.24,285.48,300.11,283.86,327.45,271.24,347.24,310.75,331.66,316.62,310.62,293.52,281.66,297.39,310.95,330.9,346.82,309.42,324.4,323.07,307.56,296.94,279.04,282.35,286.28,283.18,284.89,304.92,308.52,350.04,383.06,411.96,309.92,274.98,300.79,274.1,312.53,287.22,314.19,305.31,265.57,292.29,296.01,280.03,295.5,282.22,317.46,316.63,292.07,274.46,288.24,290.8,294.64,308.87,273.13,284.54,321.05,265.83,296.48,301.2,306.37,304.45,337.83,316.21,326.87,319.46,335.12,342.38,333.58,301.5,346.48,311.31,291.37,275.24,293.27,279.01,349.5,271.86,283.42,269.59,249.66,278.0,315.71,294.7,290.67,272.73,302.3,287.74,308.74,294.7,271.16,263.78,269.17,285.66
Raw Hourly MAE (C),0.8365,0.7948,0.8629,0.6892,0.778,0.8175,0.5797,0.6402,0.6009,0.6605,0.9117,0.8506,0.8593,0.915,0.6499,0.5583,0.5952,0.5795,0.5967,0.4476,0.5374,0.6049,0.5905,1.3422,1.1272,0.5184,0.8189,0.8871,0.8183,0.8619,0.861,0.7181,0.5978,0.5727,0.4807,0.6366,0.5091,0.5746,0.7234,0.8329,0.8439,0.7242,0.8007,0.7492,0.8104,0.7359,0.9716,0.9615,0.9851,0.8988,0.9156,0.9434,0.9776,0.9962,0.9806,0.9949,1.1182,0.9547,0.9788,0.9196,0.9221,0.8049,0.7477,0.6278,0.8901,0.9478,0.8283,0.8858,0.9589,0.8731,0.8774,0.8598,0.8747,0.8784,0.8743,0.8908,0.9269,0.9182,0.9366,0.6639,0.8172,0.8726,0.8511,0.9836,0.9537,0.9811,0.8001,1.0336,1.022,1.0502,0.586,0.6948,0.6415,0.7386,0.9695,0.96,0.9501,0.9631,0.9107,0.8382,0.8452,0.773,0.7754,0.7089,0.7869,0.8465,0.8882,0.8382,0.8997,0.8616,0.8387,1.1004,0.9873,0.8902,0.8798,0.9224,0.9593,0.8876,0.8987,0.9565,0.9139,0.7905,0.7014,0.6608,0.9261,0.8774,0.8843,0.8534,0.8881,0.8561,0.7469,1.0386,1.2797,1.0821,0.8964,0.8414,0.83,0.9628,0.8444,0.8028,0.8881,0.7873,0.7527,0.8884,0.8202,0.7681,0.7849,0.7324,0.7874,0.659,0.9272,0.9315,0.8751,0.8421,0.6389,0.7325,0.9678,0.9375,0.9562,0.9335,0.9264,0.9381,0.9418,0.8829,1.3484,0.5764,1.1576
Raw Hourly RMSE (C),1.1987,1.1326,1.2506,1.003,1.124,1.1737,0.8369,0.9416,0.8941,0.9655,1.3656,1.2483,1.256,1.3288,0.8917,0.773,0.821,0.7944,0.8227,0.6426,0.7439,0.83,0.8083,1.9395,1.587,0.8892,1.161,1.2586,1.1918,1.2393,1.2456,1.0333,0.8417,0.7946,0.6826,0.9195,0.7042,0.8012,1.0412,1.1968,1.2028,1.0529,1.1503,1.0642,1.1318,1.0569,1.4118,1.3909,1.4348,1.3285,1.3346,1.3859,1.4311,1.4456,1.4517,1.468,1.6573,1.422,1.4616,1.3337,1.3294,1.1878,1.1036,0.9122,1.2541,1.3332,1.2041,1.2516,1.3503,1.2637,1.2677,1.2353,1.2343,1.2649,1.2668,1.2713,1.3353,1.3241,1.359,0.9664,1.2049,1.2493,1.227,1.4572,1.4237,1.4404,1.1386,1.5175,1.4952,1.5359,0.8744,0.9602,0.9625,1.0374,1.3712,1.3684,1.3432,1.3544,1.287,1.1926,1.2135,1.151,1.1589,1.0397,1.1288,1.2452,1.2787,1.1926,1.2991,1.2108,1.2213,1.6002,1.4218,1.3346,1.3023,1.3437,1.401,1.301,1.3317,1.4485,1.3781,1.1165,0.9888,0.9329,1.3293,1.2577,1.2644,1.2325,1.2694,1.2015,1.0917,1.4993,1.8421,1.558,1.2929,1.2,1.1879,1.3553,1.2353,1.2023,1.312,1.1895,1.0981,1.3397,1.2422,1.1362,1.1776,1.0735,1.1772,1.0039,1.3212,1.3275,1.2652,1.2621,0.8929,1.0163,1.3991,1.3361,1.3691,1.339,1.3297,1.3733,1.3766,1.2734,1.9473,0.8665,1.7554
Raw Hourly R2,0.9794,0.9793,0.9801,0.9794,0.9799,0.9799,0.9862,0.9885,0.9909,0.9882,0.9806,0.9814,0.9817,0.9808,0.9741,0.9789,0.9745,0.9878,0.9856,0.9635,0.9368,0.9758,0.9764,0.9679,0.9717,0.9778,0.9857,0.9838,0.9843,0.9807,0.9826,0.9702,0.9715,0.9652,0.9589,0.9652,0.9578,0.9724,0.9761,0.9783,0.9798,0.9903,0.9897,0.9895,0.9902,0.9905,0.984,0.9854,0.9822,0.9848,0.9841,0.9819,0.9867,0.987,0.9859,0.9857,0.9786,0.9837,0.9822,0.9819,0.9827,0.9801,0.9763,0.9806,0.9839,0.9837,0.9841,0.983,0.9826,0.986,0.9868,0.9871,0.9866,0.9868,0.986,0.9906,0.9893,0.9893,0.9882,0.9799,0.9783,0.9762,0.9807,0.9841,0.9838,0.9824,0.9883,0.9836,0.9849,0.9838,0.9921,0.9876,0.9904,0.9884,0.984,0.9846,0.9839,0.9841,0.9831,0.9847,0.9845,0.9833,0.9826,0.986,0.9886,0.981,0.9848,0.9847,0.9854,0.9793,0.9794,0.9856,0.9893,0.9833,0.9846,0.9829,0.9834,0.9851,0.9839,0.9802,0.982,0.9848,0.9804,0.9823,0.9826,0.9839,0.9834,0.9836,0.9832,0.9786,0.9771,0.9862,0.9768,0.9849,0.981,0.9808,0.9818,0.9811,0.982,0.9752,0.9791,0.9819,0.976,0.9787,0.9762,0.9899,0.9889,0.9871,0.9892,0.9905,0.9859,0.9848,0.9822,0.9761,0.9803,0.9902,0.9799,0.9809,0.9798,0.9814,0.9796,0.9866,0.9848,0.9889,0.9675,0.9889,0.9789
Raw KS Stat,0.004233,0.005943,0.006412,0.006526,0.004524,0.004993,0.005728,0.005145,0.003307,0.003954,0.004701,0.005525,0.005196,0.004663,0.007033,0.004739,0.006159,0.00493,0.004676,0.0037,0.009922,0.004347,0.007097,0.008174,0.008617,0.02684,0.004119,0.005069,0.005563,0.005398,0.005246,0.004854,0.006754,0.013902,0.016271,0.006209,0.015904,0.008579,0.004663,0.005981,0.005931,0.004625,0.003117,0.005006,0.003523,0.004017,0.007743,0.006514,0.004473,0.005082,0.005474,0.005665,0.003814,0.003966,0.004233,0.004625,0.005462,0.005221,0.004372,0.005855,0.005322,0.004942,0.004904,0.007882,0.005006,0.004841,0.004613,0.004904,0.005069,0.005639,0.005094,0.005893,0.006197,0.006298,0.006083,0.006007,0.005677,0.005576,0.006057,0.006539,0.005804,0.005145,0.00555,0.006146,0.005044,0.005044,0.005614,0.005107,0.006843,0.006932,0.003282,0.007211,0.003789,0.00664,0.004207,0.004663,0.004309,0.004828,0.005487,0.005411,0.005132,0.004575,0.004815,0.00422,0.004258,0.005044,0.004765,0.005411,0.004182,0.006387,0.005791,0.004739,0.005677,0.005753,0.005056,0.006159,0.006932,0.005665,0.005791,0.00498,0.004575,0.003726,0.004575,0.003637,0.00531,0.005006,0.004499,0.005183,0.004334,0.00607,0.008085,0.005981,0.004955,0.006539,0.006273,0.006374,0.006273,0.006666,0.005576,0.005246,0.005107,0.005158,0.005969,0.005905,0.005297,0.003181,0.004955,0.004093,0.004993,0.004803,0.00403,0.004448,0.005538,0.006666,0.006856,0.004448,0.005449,0.006818,0.007211,0.006349,0.005969,0.004245,0.007135,0.00422,0.006501,0.006425,0.004651
Raw KS P-value,0.478208,0.122644,0.0776321,0.0690945,0.393463,0.278011,0.149553,0.246345,0.779803,0.566756,0.346622,0.179027,0.236407,0.35634,0.0401566,0.337079,0.0998338,0.292036,0.353081,0.651015,0.000839362,0.443964,0.0374159,0.0102103,0.00567121,3.99052e-25,0.51369,0.261828,0.173177,0.199652,0.226773,0.309519,0.0543959,4.71804e-07,1.66882e-09,0.0950133,4.24415e-09,0.00597162,0.35634,0.118333,0.124108,0.366234,0.836657,0.275264,0.710217,0.546125,0.0175465,0.0700019,0.40753,0.259199,0.187067,0.158313,0.612865,0.562611,0.478208,0.366234,0.18912,0.231552,0.436536,0.133201,0.212882,0.289192,0.297785,0.0147742,0.275264,0.312502,0.369571,0.297785,0.261828,0.16193,0.256589,0.128589,0.0961998,0.0870453,0.107445,0.11553,0.156529,0.171261,0.110086,0.0681972,0.139559,0.246345,0.17511,0.10107,0.267144,0.267144,0.165613,0.253999,0.0494545,0.044906,0.787687,0.0328929,0.621324,0.0613694,0.485991,0.35634,0.455232,0.315505,0.185031,0.19751,0.248877,0.379696,0.318528,0.482092,0.470486,0.267144,0.330816,0.19751,0.493834,0.079646,0.141186,0.337079,0.156529,0.14616,0.264476,0.0998338,0.044906,0.158313,0.141186,0.280776,0.379696,0.642524,0.379696,0.672236,0.215151,0.275264,0.40046,0.238863,0.447703,0.108759,0.0114417,0.118333,0.286367,0.0681972,0.0892625,0.0806694,0.0892625,0.0597568,0.171261,0.226773,0.253999,0.243832,0.119756,0.127081,0.217439,0.818336,0.286367,0.521725,0.278011,0.32157,0.54203,0.414674,0.17706,0.0597568,0.0487812,0.414674,0.191191,0.0508251,0.0328929,0.0827495,0.119756,0.474339,0.0358512,0.482092,0.0709193,0.0766414,0.359619
