Metric,N_counties,Mean,Std,Min,P25,Median,P75,Max,IQR,Skew,Kurtosis
Raw Train Time (s),167,302.4650299,25.46277713,249.66,284.625,300.11,316.65,415.1,32.025,1.174806089,3.363782979
Raw Hourly MAE (C),167,0.841364072,0.153257295,0.4476,0.75095,0.8616,0.9325,1.3484,0.18155,0.030866303,0.985487061
Raw Hourly RMSE (C),167,1.218008982,0.227213803,0.6426,1.10085,1.2483,1.34145,1.9473,0.2406,-0.003389497,0.879822208
Raw Hourly R2,167,0.981977844,0.00680829,0.9368,0.97985,0.9832,0.9858,0.9921,0.00595,-2.602723947,12.41956108
Raw KS Stat,167,0.005715856,0.002388882,0.003117,0.004663,0.005246,0.0061525,0.02684,0.0014895,5.452021051,40.63190722
Raw KS P-value,167,0.249445629,0.186491802,3.99E-25,0.1004519,0.226773,0.35634,0.836657,0.2558881,0.95019591,0.620288433
Raw Daily Max MAE (C),167,0.562082635,0.124103636,0.2627,0.4629,0.5999,0.6485,0.8575,0.1856,-0.427390523,-0.518656752
Raw Daily Max RMSE (C),167,0.726323952,0.165411939,0.3715,0.5786,0.7677,0.8527,1.1394,0.2741,-0.161869959,-0.651661574
Raw Daily Min MAE (C),167,0.441588623,0.115131531,0.1666,0.3719,0.4463,0.51745,0.9356,0.14555,0.617777694,2.378121606
Raw Daily Min RMSE (C),167,0.574634132,0.137921945,0.2414,0.4895,0.5792,0.66285,1.1297,0.17335,0.465590391,1.71901863
Raw Max Hour MAE (h),167,1.17751497,0.372868171,0.398,0.9195,1.134,1.41,2.433,0.4905,0.359967664,0.160124985
Raw Min Hour MAE (h),167,2.287778443,0.555873603,0.747,1.9755,2.257,2.632,3.71,0.6565,-0.251601265,0.161623612
Raw Acc<=1h (Max),167,0.724065868,0.086319673,0.479,0.663,0.733,0.781,0.923,0.118,-0.142333061,-0.070958284
Raw Acc<=1h (Min),167,0.579766467,0.107843871,0.368,0.5,0.585,0.638,0.905,0.138,0.590560906,0.405376482
Enforced Train Time (s),167,302.4650299,25.46277713,249.66,284.625,300.11,316.65,415.1,32.025,1.174806089,3.363782979
Enforced Hourly MAE (C),167,0.841918563,0.148826626,0.4669,0.7615,0.865,0.92885,1.382,0.16735,0.223041962,1.425738906
Enforced Hourly RMSE (C),167,1.291038922,0.240003814,0.7052,1.1673,1.3232,1.4236,2.1221,0.2563,0.140590358,1.020222534
Enforced Hourly R2,167,0.979588024,0.008406372,0.9235,0.9773,0.9812,0.984,0.9916,0.0067,-2.850448664,13.63797425
Enforced KS Stat,167,0.00866779,0.004647698,0.002522,0.0050625,0.007895,0.011177,0.036572,0.0061145,1.680962967,6.606348346
Enforced KS P-value,167,0.171622256,0.258739728,2.74E-46,0.00010473,0.0145428,0.263152,0.962813,0.26304727,1.521953901,1.169002637
Enforced Max Hour MAE (h),167,1.17751497,0.372868171,0.398,0.9195,1.134,1.41,2.433,0.4905,0.359967664,0.160124985
Enforced Min Hour MAE (h),167,2.287778443,0.555873603,0.747,1.9755,2.257,2.632,3.71,0.6565,-0.251601265,0.161623612
Enforced Acc<=1h (Max),167,0.724065868,0.086319673,0.479,0.663,0.733,0.781,0.923,0.118,-0.142333061,-0.070958284
Enforced Acc<=1h (Min),167,0.579766467,0.107843871,0.368,0.5,0.585,0.638,0.905,0.138,0.590560906,0.405376482
